DateOfValuation	Size SqM	SqFt	PropertyType	NoOfFloors	ADDRESS	SCHEME	PRICE	YEAR	pricePerSqft
26/04/2018	1982	21334	Detached House	3	11,JALAN SETIAMURNI 6	DAMANSARA HEIGHTS (BKT DAMANSARA)	13800000	2018	646.8532758
1/4/2018	899.737	9685	Detached House	2	NO. 10,PERSIARAN BATAI BARAT	DAMANSARA HEIGHTS (BKT DAMANSARA)	6300000	2018	650.5120034
19/04/2017	539	5802	Detached House	2	65,JLN SETIAKASIH 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	3780000	2017	651.5284435
9/4/2019	997	10732	Detached House	2	NO. 2,JLN SETIAKASIH 7	DAMANSARA HEIGHTS (BKT DAMANSARA)	7000000	2019	652.2787456
23/10/2020	466.6	5022	Detached House	2	96,JLN JELUTONG	DAMANSARA HEIGHTS (BKT DAMANSARA)	3280000	2020	653.0695801
7/12/2019	455	4898	Detached House	2	16,LRG BATAI DALAM	DAMANSARA HEIGHTS (BKT DAMANSARA)	3200000	2019	653.3846499
1/9/2018	913	9827	Detached House	2	72,JLN SETIAKASIH	DAMANSARA HEIGHTS (BKT DAMANSARA)	6500000	2018	661.4133016
14/08/2017	655.502	7056	Detached House	2	32,JALAN SETIAJAYA	DAMANSARA HEIGHTS (BKT DAMANSARA)	4680000	2017	663.288057
26/04/2017	628	6760	Detached House	2	NO. 42,JLN SETIABAKTI 8	DAMANSARA HEIGHTS (BKT DAMANSARA)	4500000	2017	665.707141
3/8/2018	827.46	8907	Detached House	2	29,JLN DERUMUN	DAMANSARA HEIGHTS (BKT DAMANSARA)	6000000	2018	673.6504235
20/09/2017	754	8116	Detached House	2	9,JLN SETIAJAYA	DAMANSARA HEIGHTS (BKT DAMANSARA)	5500000	2017	677.6753508
20/02/2017	614.812	6618	Detached House	2	NO. 12,JLN CEMPERAI	DAMANSARA HEIGHTS (BKT DAMANSARA)	4500000	2017	679.9868652
8/7/2020	614	6609	Detached House	2	10,JLN SETIAKASIH 6	DAMANSARA HEIGHTS (BKT DAMANSARA)	4500000	2020	680.8861312
15/12/2020	571	6146	Detached House	2	249,JLN DAMANSARA	DAMANSARA HEIGHTS (BKT DAMANSARA)	4188000	2020	681.3980877
27/02/2018	348	3746	Detached House	2	34,JALAN SETIARASA	DAMANSARA HEIGHTS (BKT DAMANSARA)	2600000	2018	694.1038441
19/10/2018	465	5005	Detached House	2	14,PERSIARAN JELUTONG	DAMANSARA HEIGHTS (BKT DAMANSARA)	3500000	2018	699.2708703
20/07/2018	664	7147	Detached House	2	68,JALAN SETIAKASIH 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	5000000	2018	699.5717613
15/10/2018	529.6	5701	Detached House	2	54,JLN JELUTONG	DAMANSARA HEIGHTS (BKT DAMANSARA)	4000000	2018	701.6852712
27/02/2017	965	10387	Detached House	2	39,JLN SETIAMURNI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	7300000	2017	702.7905164
18/01/2019	1335.809	14379	Detached House	2	12,LRG CHELAGI	DAMANSARA HEIGHTS (BKT DAMANSARA)	10150000	2019	705.9143699
10/1/2020	972.477	10468	Detached House	2	35B,JLN BALAU	DAMANSARA HEIGHTS (BKT DAMANSARA)	7500000	2020	716.4935256
17/03/2020	490	5274	Detached House	2	NO.14,JALAN SETIAWMURNI 2	DAMANSARA HEIGHTS (BKT DAMANSARA)	3800000	2020	720.4732523
21/07/2017	837	9009	Detached House	2	1,JLN SETIARASA	DAMANSARA HEIGHTS (BKT DAMANSARA)	6500000	2017	721.4699455
2/3/2017	1025	11033	Detached House	2	74,JLN SETIAJAYA	DAMANSARA HEIGHTS (BKT DAMANSARA)	8100000	2017	734.1613193
18/08/2020	948.137	10206	Detached House	2	21,JLN BEKA	DAMANSARA HEIGHTS (BKT DAMANSARA)	7500000	2020	734.8869143
12/4/2018	984.926	10602	Detached House	2	52,JALAN BATAI	DAMANSARA HEIGHTS (BKT DAMANSARA)	7800000	2018	735.7348809
24/07/2019	1134	12206	Detached House	2	84,JLN SETIAKASIH 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	9000000	2019	737.3264278
2/6/2017	540	5813	Detached House	1	NO.241,JALAN DAMANSARA	DAMANSARA HEIGHTS (BKT DAMANSARA)	4300000	2017	739.7841826
27/08/2020	940	10118	Detached House	2	39,JLN SETIAMURNI 6	DAMANSARA HEIGHTS (BKT DAMANSARA)	7500000	2020	741.2483769
3/5/2018	698	7513	Detached House	2	33,SETIABAKTI 8	DAMANSARA HEIGHTS (BKT DAMANSARA)	5700000	2018	758.6645279
4/8/2021	544	5856	Detached House	2	52,JLN SETIAKASIH 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	4530000	2021	773.6234898
20/02/2019	588	6329	Detached House	2	NO.71,JLN SETIAKASIH 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	4900000	2019	774.1927492
29/09/2020	879.02	9462	Detached House	2	48,JALAN BEKA	DAMANSARA HEIGHTS (BKT DAMANSARA)	7380000	2020	779.9880534
1/11/2021	619	6663	Detached House	3	5C (UNIT 3),JLN CHEMPENAI	DAMANSARA HEIGHTS (BKT DAMANSARA)	5200000	2021	780.4463255
22/10/2018	823	8859	Detached House	2	10,JLN BATAI TEPI	DAMANSARA HEIGHTS (BKT DAMANSARA)	7000000	2018	790.18458
19/02/2020	990.035	10657	Detached House	2	23,BATAI BARAT	DAMANSARA HEIGHTS (BKT DAMANSARA)	8500000	2020	797.6249367
24/04/2018	696	7492	Detached House	2	8,JLN SETIAKASIH 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	5980000	2018	798.2194207
20/01/2021	927	9978	Detached House	2	10,JLN SETIAMURNI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	8100000	2021	811.7749215
30/03/2021	573	6168	Detached House	3	42A,JLN  LAMAN SETIAKASIH 8	DAMANSARA HEIGHTS (BKT DAMANSARA)	5050000	2021	818.7797662
13/02/2017	512.158	5513	Detached House	2	54,PERSIARAN BRUAS	DAMANSARA HEIGHTS (BKT DAMANSARA)	4550000	2017	825.3492888
26/01/2017	550	5920	Detached House	2	19,JLN SETIAKASIH	DAMANSARA HEIGHTS (BKT DAMANSARA)	4900000	2017	827.6824301
3/6/2020	633.021	6814	Detached House	2	18,JALAN SETIARAYA	DAMANSARA HEIGHTS (BKT DAMANSARA)	5650000	2020	829.2026394
27/01/2017	866.571	9328	Detached House	2	NO. 12,LRG BATAI	DAMANSARA HEIGHTS (BKT DAMANSARA)	7900000	2017	846.9412504
16/10/2020	946	10183	Detached House	2	8,JLN SETIAMURNI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	8800000	2020	864.2151619
11/6/2017	782.961	8428	Detached House	3	NO. 60,JALAN BATAI UTARA	DAMANSARA HEIGHTS (BKT DAMANSARA)	7300000	2017	866.1898208
4/6/2018	597	6426	Detached House	2	28,JALAN BATAI BARAT	DAMANSARA HEIGHTS (BKT DAMANSARA)	5700000	2018	887.0148082
13/03/2018	904.01	9731	Detached House	2	8,LORONG BATAI	DAMANSARA HEIGHTS (BKT DAMANSARA)	9000000	2018	924.9103098
18/12/2017	516.245	5557	Detached House	2	48,PERSIARAN BRUAS	DAMANSARA HEIGHTS (BKT DAMANSARA)	5200000	2017	935.7887738
22/03/2019	613	6598	Detached House	3	NO. 6,JLN SETIABAKTI 5	DAMANSARA HEIGHTS (BKT DAMANSARA)	6200000	2019	939.6401393
26/07/2017	711	7653	Detached House	2	3,JALAN SETIAMURNI 7	DAMANSARA HEIGHTS (BKT DAMANSARA)	7200000	2017	940.7911889
4/7/2017	557	5995	Detached House	2	23,JALAN SETIARAYA	DAMANSARA HEIGHTS (BKT DAMANSARA)	5650000	2017	942.374657
27/03/2019	525.814	5660	Detached House	2	11,LRG BATAI DALAM	DAMANSARA HEIGHTS (BKT DAMANSARA)	5420000	2019	957.6294357
9/3/2018	443.5	4774	Detached House	2	283,JLN DAMANSARA	DAMANSARA HEIGHTS (BKT DAMANSARA)	4600000	2018	963.595034
13/12/2017	472	5081	Detached House	2	42,JLN SETIARAYA	DAMANSARA HEIGHTS (BKT DAMANSARA)	5000000	2017	984.1433253
15/09/2020	470.074	5060	Detached House	2	10,LRG BASONG	DAMANSARA HEIGHTS (BKT DAMANSARA)	5000000	2020	988.1755841
3/8/2018	528	5683	Detached House	2	16,JLN SETIA MURNI 12	DAMANSARA HEIGHTS (BKT DAMANSARA)	5650000	2018	994.1338712
17/07/2017	1104.395	11888	Detached House	3	3,LRG JARAK KANAN	DAMANSARA HEIGHTS (BKT DAMANSARA)	12000000	2017	1009.455456
30/07/2020	534	5748	Detached House	3	8,JALAN SETIAKASIH 4	DAMANSARA HEIGHTS (BKT DAMANSARA)	5900000	2020	1026.457802
27/08/2020	579.789	6241	Detached House	3	NO. 47,PSN BRUAS	DAMANSARA HEIGHTS (BKT DAMANSARA)	6500000	2020	1041.534669
30/03/2017	578.395	6226	Detached House	3	NO.39,JALAN LIKU BRUAS	DAMANSARA HEIGHTS (BKT DAMANSARA)	6500000	2017	1044.04489
5/2/2019	464	4994	Detached House	1	16,JLN PSN JELUTONG	DAMANSARA HEIGHTS (BKT DAMANSARA)	5550000	2019	1111.233558
13/09/2019	567	6103	Detached House	3	40,LAMAN SETIAKASIH 8	DAMANSARA HEIGHTS (BKT DAMANSARA)	7200000	2019	1179.722285
28/06/2019	612	6588	Detached House	2	NO. 91,JLN SETIABAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	8000000	2019	1214.419999
31/12/2019	855	9203	Detached House	2	1,JALAN SETIABAKTI 6	DAMANSARA HEIGHTS (BKT DAMANSARA)	11500000	2019	1249.574262
28/03/2019	891	9591	Detached House	3	23,JLN SETIABAKTI 6	DAMANSARA HEIGHTS (BKT DAMANSARA)	16000000	2019	1668.29414
4/6/2017	438	4715	Semi-Detached House	2	27,JALAN SETIA BAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	1000000	2017	212.1076025
8/3/2017	356	3832	Semi-Detached House	2	6,JLN SETIABAKTI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1200000	2017	313.1566177
26/05/2017	525	5651	Semi-Detached House	2	52,JLN SETIABAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	3000000	2017	530.875028
23/01/2017	513	5522	Semi-Detached House	2	16,JLN SETIAMURNI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	3000000	2017	543.2931573
28/07/2017	479	5156	Semi-Detached House	2	29,JALAN SETIA BAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	3000000	2017	581.8567635
19/01/2018	462	4973	Semi-Detached House	2	7,JLN SETIAMURNI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	2900000	2018	583.1581747
19/01/2018	462	4973	Semi-Detached House	2	7,JLN SETIAMURNI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	2900000	2018	583.1581747
29/01/2021	481	5177	Semi-Detached House	2	46,JLN SETIABAKTI	DAMANSARA HEIGHTS (BKT DAMANSARA)	3100000	2021	598.7519807
19/10/2020	627	6749	Semi-Detached House	2	74,JLN SETIABAKTI	DAMANSARA HEIGHTS (BKT DAMANSARA)	4100000	2020	607.5005305
9/6/2018	433	4661	Semi-Detached House	2	54,JLN SETIAMURNI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	3000000	2018	643.670646
5/4/2017	577	6211	Semi-Detached House	2	9,PSN DAMANSARA ENDAH	DAMANSARA HEIGHTS (BKT DAMANSARA)	4000000	2017	644.042495
17/07/2019	395	4252	Semi-Detached House	2	35,JLN SETIABAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	2800000	2019	658.5538322
28/08/2020	409	4402	Semi-Detached House	2	46,JLN SETIABAKTI 10	DAMANSARA HEIGHTS (BKT DAMANSARA)	2930000	2020	665.5407595
14/06/2018	344	3703	Semi-Detached House	2	44,JALAN SETIAKASEH 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	2500000	2018	675.1680953
5/12/2020	397	4273	Semi-Detached House	2	25,JLN SETIABAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	2900000	2020	678.6374729
2/12/2018	438	4715	Semi-Detached House	2	27,JLN SETIA BAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	3220000	2018	682.9864801
12/6/2018	496	5339	Semi-Detached House	2	NO. 40,JLN SETIA MURNI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	3650000	2018	683.6621455
31/01/2018	409	4402	Semi-Detached House	2	94,JLN SETIABAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	3200000	2018	726.870454
24/01/2017	473	5091	Semi-Detached House	2	NO.16,LORONG SETIABAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	3800000	2017	746.3676398
21/01/2020	429.012	4618	Semi-Detached House	2	56,JLN SETIAMURNI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	3650000	2020	790.4124457
15/07/2019	404	4349	Semi-Detached House	2	25,JLN SETIABAKTI	DAMANSARA HEIGHTS (BKT DAMANSARA)	3450000	2019	793.3559361
30/10/2017	472	5081	Semi-Detached House	2	6,JLN SETIABAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	4050000	2017	797.1560935
2/5/2021	327	3520	Semi-Detached House	2	64,JLN SETIAKASIH 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	2850000	2021	809.7061781
23/03/2017	401	4316	Semi-Detached House	2	45,JLN SETIABAKTI 9	DAMANSARA HEIGHTS (BKT DAMANSARA)	3500000	2017	810.8751987
11/1/2017	328	3531	Semi-Detached House	2	24,PERSIARAN JELUTONG	DAMANSARA HEIGHTS (BKT DAMANSARA)	4900000	2017	1387.882124
15/02/2021	872	9386	Terraced House	2	NO. 83,JALAN SETIAJASA	DAMANSARA HEIGHTS (BKT DAMANSARA)	400000	2021	42.61611464
19/11/2020	389.716	4195	Terraced House	2	5,LRG MEMPOYAN	DAMANSARA HEIGHTS (BKT DAMANSARA)	2275000	2020	542.3298518
21/05/2019	375	4036	Terraced House	2	NO.1,LORONG SETIAPUSPA 2	DAMANSARA HEIGHTS (BKT DAMANSARA)	2430000	2019	602.0122818
29/03/2018	219	2357	Terraced House	2	40,LRG SETIAJASA 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1470000	2018	623.5963514
10/6/2017	163	1755	Terraced House	2	43,JLN SETIAJASA	DAMANSARA HEIGHTS (BKT DAMANSARA)	1100000	2017	626.9536374
31/07/2019	154	1658	Terraced House	2	4,LORONG SETIBISTARI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1050000	2019	633.4304312
22/10/2018	356	3832	Terraced House	2	2,LORONG SETIAJASA 3	DAMANSARA HEIGHTS (BKT DAMANSARA)	2500000	2018	652.4096201
9/7/2020	239.13	2574	Terraced House	2	NO. 11A,LORONG SETIAJASA 2	DAMANSARA HEIGHTS (BKT DAMANSARA)	1700000	2020	660.4579971
20/08/2019	374.108	4027	Terraced House	2	17,LORONG MEMPOYAN	DAMANSARA HEIGHTS (BKT DAMANSARA)	2700000	2019	670.4974252
4/1/2019	215	2314	Terraced House	2	32,LRG SETIAJASA 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1570000	2019	678.4089021
8/10/2017	176	1894	Terraced House	2	21,LORONG BELUNTAS 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1292800	2017	682.4157179
30/12/2020	312	3358	Terraced House	2	2,LRG SETIAJAYA 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	2300000	2020	684.8628166
4/1/2017	198	2131	Terraced House	2	NO.33,LRG SETIAPUSPA 2	DAMANSARA HEIGHTS (BKT DAMANSARA)	1470000	2017	689.7353584
10/7/2020	354	3810	Terraced House	2	75,JALAN SETIABISTARI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	2630000	2020	690.2125188
3/8/2017	221	2379	Terraced House	2	47,JLN BELUNTAS	DAMANSARA HEIGHTS (BKT DAMANSARA)	1680000	2017	706.2319378
18/08/2020	201	2164	Terraced House	2	NO. 7,JALAN SETIAPUSPA 3	DAMANSARA HEIGHTS (BKT DAMANSARA)	1530000	2020	707.1730784
12/5/2019	215	2314	Terraced House	2	54,LORONG SETIABISTARI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1650000	2019	712.9775086
9/2/2020	215	2314	Terraced House	2	32,LRG SETIAJASA 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1650000	2020	712.9775086
30/08/2019	297	3197	Terraced House	2	NO. 1,LRG SETIAJASA 3	DAMANSARA HEIGHTS (BKT DAMANSARA)	2300000	2019	719.4518478
17/10/2017	166	1787	Terraced House	2	49,JLN SETIAJASA	DAMANSARA HEIGHTS (BKT DAMANSARA)	1300000	2017	727.5546318
2/10/2017	270	2906	Terraced House	2	NO. 65,JLN SETIAJASA	DAMANSARA HEIGHTS (BKT DAMANSARA)	2150000	2017	739.7841826
3/3/2017	156	1679	Terraced House	2	31,JALAN SETIAJASA	DAMANSARA HEIGHTS (BKT DAMANSARA)	1250000	2017	744.416105
30/10/2017	256	2756	Terraced House	2	NO.65,JALAN SETIABISTARI	DAMANSARA HEIGHTS (BKT DAMANSARA)	2100000	2017	762.0959875
28/06/2019	157	1690	Terraced House	2	NO.6,LORONG SETIABISTARI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1300000	2019	769.2615852
12/4/2017	176	1894	Terraced House	2	21,LRG SETIABISTARI 7	DAMANSARA HEIGHTS (BKT DAMANSARA)	1500000	2017	791.788039
20/10/2018	199	2142	Terraced House	2	NO.9,JALAN SETIAPUSPA 2	DAMANSARA HEIGHTS (BKT DAMANSARA)	1700000	2018	793.6448283
15/09/2020	262	2820	Terraced House	2	8,JLN BELUNTAS	DAMANSARA HEIGHTS (BKT DAMANSARA)	2250000	2020	797.8322225
10/4/2017	154	1658	Terraced House	2	11,JALAN BELIMBING	DAMANSARA HEIGHTS (BKT DAMANSARA)	1350000	2017	814.4105544
12/1/2020	172	1851	Terraced House	2	27,LRG BELUNTAS 2	DAMANSARA HEIGHTS (BKT DAMANSARA)	1550000	2020	837.2084381
14/07/2017	165	1776	Terraced House	2	53,JLN KASAH	DAMANSARA HEIGHTS (BKT DAMANSARA)	1500000	2017	844.5739082
5/4/2018	153	1647	Terraced House	2	9,JALAN BELIMBING	DAMANSARA HEIGHTS (BKT DAMANSARA)	1400000	2018	850.0939991
24/09/2020	168	1808	Terraced House	2	16,LRG KASAH DALAM	DAMANSARA HEIGHTS (BKT DAMANSARA)	1600000	2020	884.7917134
21/03/2017	162	1744	Terraced House	2	6,LORONG SETIAJASA 4	DAMANSARA HEIGHTS (BKT DAMANSARA)	1550000	2017	888.8879713
25/01/2018	174.095	1874	Terraced House	2	117,JLN KASAH	DAMANSARA HEIGHTS (BKT DAMANSARA)	1713000	2018	914.1162097
23/11/2017	178	1916	Terraced House	2	NO.108,JALAN KASAH	DAMANSARA HEIGHTS (BKT DAMANSARA)	1800000	2017	939.469853
6/8/2018	149	1604	Terraced House	2	51,LORONG SETIBISTARI 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1510000	2018	941.5015178
14/01/2021	161	1733	Terraced House	2	NO. 7,JLN KASAH TEPI	DAMANSARA HEIGHTS (BKT DAMANSARA)	1660000	2021	957.8832028
28/03/2019	162	1744	Terraced House	2	37,LRG BELUNTAS 1	DAMANSARA HEIGHTS (BKT DAMANSARA)	1700000	2019	974.9093879
11/7/2017	179	1927	Terraced House	2	7,LRG SETIABISTARI 7	DAMANSARA HEIGHTS (BKT DAMANSARA)	1900000	2017	986.1226079
4/5/2017	237	2551	Terraced House	2	55,JLN BELUNTAS	DAMANSARA HEIGHTS (BKT DAMANSARA)	2550000	2017	999.5906382
8/5/2019	162	1744	Terraced House	2	NO.67,JALAN SETIABISTARI	DAMANSARA HEIGHTS (BKT DAMANSARA)	1800000	2019	1032.256999
22/02/2021	153	1647	Terraced House	2	NO.21,JALAN SETIABISTARI	DAMANSARA HEIGHTS (BKT DAMANSARA)	1750000	2021	1062.617499
15/07/2019	156	1679	Terraced House	2	31,JALAN SETIAJASA	DAMANSARA HEIGHTS (BKT DAMANSARA)	2000000	2019	1191.065768
11/8/2017	141	1518	Condominium/Apartment	8	89-5-9(P:F-5-9),JLN BUKIT LEDANG	DAMANSARA VILLA	580000	2017	382.1547188
3/5/2019	147	1582	Condominium/Apartment	8	89-3-7,JLN BUKIT LEDANG	DAMANSARA VILLA	680000	2019	429.7559751
7/11/2017	184	1981	Condominium/Apartment	8	89-8-5,JLN BUKIT LEDANG	DAMANSARA VILLA	928000	2017	468.554916
4/5/2017	375.781	4045	Condominium/Apartment	8	89-10-03,JLN BUKIT LEDANG	DAMANSARA VILLA	1900000	2017	469.7308986
14/01/2020	141	1518	Condominium/Apartment	8	89-5-7,JLN BUKIT LEDANG	DAMANSARA VILLA	745000	2020	490.8711474
4/6/2018	184	1981	Condominium/Apartment	8	89-5-5 (D-5-5),JLN BUKIT LEDANG	DAMANSARA VILLA	1010000	2018	509.9573979
8/2/2017	184	1981	Condominium/Apartment	8	89-8-6( D-8-6),JLN BUKIT LEDANG	DAMANSARA VILLA	1080000	2017	545.3009799
1/8/2021	184	1981	Condominium/Apartment	8	89-4-10 (B-4-10),JLN BUKIT LEDANG	DAMANSARA VILLA	1080000	2021	545.3009799
4/5/2019	141	1518	Condominium/Apartment	8	89-9-9,JLN BUKIT LEDANG	DAMANSARA VILLA	830000	2019	546.8765803
23/08/2017	141	1518	Condominium/Apartment	8	89-6-2 (F-6-2),JLN BUKIT LEDANG	DAMANSARA VILLA	835000	2017	550.1710175
3/4/2021	141	1518	Condominium/Apartment	8	89-1-3,JLN BUKIT LEDANG	DAMANSARA VILLA	850000	2021	560.0543292
10/2/2017	141	1518	Condominium/Apartment	8	89-6-7,JALAN DAMANSARA	DAMANSARA VILLA	860000	2017	566.6432037
12/12/2017	141	1518	Condominium/Apartment	8	89-8-7(P:C-8-7),JLN BUKIT LEDANG	DAMANSARA VILLA	865000	2017	569.9376409
25/01/2021	116	1249	Condominium/Apartment	18	6-3-7,JLN 3/109F	DANAU DESA	545000	2021	436.4845328
9/8/2017	154	1658	Detached House	4	29,VILLA PRIMA,JLN 109F	DANAU DESA	5555500	2017	3351.450248
27/11/2017	313	3369	Semi-Detached House	3	26,JLN DESA PERDANA 2 (DANAU VILLA)	DANAU DESA	1200000	2017	356.1781338
27/05/2020	355	3821	Semi-Detached House	3	57,JLN DESA PERDANA	DANAU DESA	1850000	2020	484.1430713
18/01/2021	273	2939	Semi-Detached House	3	52,DANAU VILLA,JLN DESA PERDANA 2	DANAU DESA	1650000	2021	561.5024335
14/10/2019	223	2400	Semi-Detached House	3	40,JALAN DESA PERDANA 2	DANAU DESA	1700000	2019	708.2301383
16/11/2020	230	2476	Semi-Detached House	3	19,JALAN DESA PERDANA 2	DANAU DESA	2000000	2020	807.8533035
5/11/2017	225	2422	Semi-Detached House	3	23A,JLN DESA PERDANA 2	DANAU DESA	2080000	2017	858.8378231
21/10/2019	180	1938	Semi-Detached House	3	51,JLN DESA PERDANA 2	DANAU DESA	2368800	2019	1222.60519
28/08/2019	87	936	Condominium/Apartment	23	A-01-11,JALAN 2/109F	DANAU IDAMAN KONDO	340000	2019	363.0697031
16/05/2017	87	936	Condominium/Apartment	23	B-5-11,JALAN 2/109F	DANAU IDAMAN KONDO	350000	2017	373.7482238
27/05/2017	87	936	Condominium/Apartment	23	C-4-07,JALAN 2/109F	DANAU IDAMAN KONDO	360000	2017	384.4267444
18/09/2019	87	936	Condominium/Apartment	23	B-1-2,JALAN 2/109F	DANAU IDAMAN KONDO	380000	2019	405.7837858
24/04/2018	87	936	Condominium/Apartment	16	C-4-12,JALAN 2/109F	DANAU IDAMAN KONDO	390000	2018	416.4623065
25/10/2019	87	936	Condominium/Apartment	18	A-9-02,JLN 2/109F	DANAU IDAMAN KONDO	400000	2019	427.1408272
22/01/2018	87	936	Condominium/Apartment	23	B-10-5,JALAN 2/109F	DANAU IDAMAN KONDO	410000	2018	437.8193478
7/11/2019	87	936	Condominium/Apartment	23	B-10-6,JALAN 2/109F	DANAU IDAMAN KONDO	410000	2019	437.8193478
25/08/2017	87	936	Condominium/Apartment	16	A-6-11,JALAN 2/109F	DANAU IDAMAN KONDO	430000	2017	459.1763892
10/10/2018	87	936	Condominium/Apartment	16	A-02-07,JALAN 2/109F	DANAU IDAMAN KONDO	430000	2018	459.1763892
24/07/2017	87	936	Condominium/Apartment	23	A-16-4,JALAN 2/109F	DANAU IDAMAN KONDO	440000	2017	469.8549099
5/10/2019	87	936	Condominium/Apartment	23	B-1-6,JALAN 2/109F	DANAU IDAMAN KONDO	448000	2019	478.3977264
25/07/2017	87	936	Condominium/Apartment	23	A-07-07,JALAN 2/109F	DANAU IDAMAN KONDO	450000	2017	480.5334306
10/12/2017	87	936	Condominium/Apartment	23	B-01-01,JALAN 2/109F	DANAU IDAMAN KONDO	480000	2017	512.5689926
15/06/2020	87	936	Condominium/Apartment	23	B-11-02,JALAN 2/109F	DANAU IDAMAN KONDO	480000	2020	512.5689926
26/12/2019	87	936	Condominium/Apartment	16	B-11-6,JLN 3/109F	DANAU IMPIAN & DANAU IDAMAN	298000	2019	318.2199162
8/10/2020	87	936	Condominium/Apartment	16	C-12-08,JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	300000	2020	320.3556204
9/3/2020	85	915	Condominium/Apartment	19	17-3-2, DANAU IMPIAN,JLN 3/109F	DANAU IMPIAN & DANAU IDAMAN	300000	2020	327.8933997
9/3/2020	85	915	Condominium/Apartment	16	13-13-6(P: A-14-6),JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	300000	2020	327.8933997
17/08/2020	85	915	Condominium/Apartment	16	17-10-1,JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	300000	2020	327.8933997
5/11/2021	85	915	Condominium/Apartment	16	15-7-9,JLN 3/109F	DANAU IMPIAN & DANAU IDAMAN	300000	2021	327.8933997
10/3/2019	85	915	Condominium/Apartment	16	15-4-8,JLN 3/109F	DANAU IMPIAN & DANAU IDAMAN	310000	2019	338.8231797
1/3/2020	85	915	Condominium/Apartment	16	17-04-10,JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	315000	2020	344.2880697
12/7/2020	87	936	Condominium/Apartment	18	A-12-05,JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	330000	2020	352.3911824
7/7/2020	87	936	Condominium/Apartment	16	B-10-10,JLN 3/109F	DANAU IMPIAN & DANAU IDAMAN	330000	2020	352.3911824
1/3/2020	85	915	Condominium/Apartment	16	15-4-10,JLN 3/109F	DANAU IMPIAN & DANAU IDAMAN	328000	2020	358.4967836
1/6/2019	85.282	918	Condominium/Apartment	16	17-02-03,JLN 3/109F	DANAU IMPIAN & DANAU IDAMAN	330000	2019	359.4900784
17/02/2020	85	915	Condominium/Apartment	16	15-4-2,JLN 3/109F	DANAU IMPIAN & DANAU IDAMAN	331000	2020	361.7757176
13/04/2019	86.954	936	Condominium/Apartment	18	C-1-10,JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	348000	2019	371.8091083
27/05/2019	87	936	Condominium/Apartment	16	A-8-12,JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	355000	2019	379.0874841
27/07/2020	85	915	Condominium/Apartment	19	17-6-9,JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	350000	2020	382.5422996
11/7/2019	85.282	918	Condominium/Apartment	16	17-13-8,JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	355000	2019	386.7241753
2/1/2021	85	915	Condominium/Apartment	16	15-08-03,JLN 2/109F	DANAU IMPIAN & DANAU IDAMAN	355000	2021	388.0071896
